N,P,K,temperature,humidity,ph,rainfall,predict
144,89,96,30.56877517,23.52571951,8.568220396,156.4769505,,grapes
112,44,141,33.02433839,91.89747226,6.72599185,174.146654,,kidneybeans
82,68,65,24.74701776,18.29680143,4.278982129,234.734992,,kidneybeans
77,117,50,25.0584428,49.25290131,5.159546505,127.892011,,kidneybeans
96,136,99,14.80543916,58.78107537,8.498446106,72.05786445,,coffee
111,27,29,13.74881161,40.62283349,7.995713411,174.9005161,,kidneybeans
112,49,142,33.22008783,40.40050194,6.85475479,85.24458237,,kidneybeans
74,98,120,36.62208313,77.35085936,8.21029164,30.94333117,,kidneybeans
56,76,125,33.98631227,29.60217315,6.351412676,24.42232425,,mango
146,30,2,20.22233362,91.36154671,7.036006522,299.4078192,,coffee
122,1,135,30.62317202,25.77702417,5.591486087,285.8525095,,kidneybeans
63,88,22,30.21349693,76.67534106,5.465313465,295.6569454,,kidneybeans
94,111,84,16.29231816,59.34248128,8.162613794,210.4808671,,kidneybeans
111,30,24,12.54149416,28.40202934,4.977982585,23.7515866,,kidneybeans
13,67,68,21.90407355,74.98366952,7.995734404,84.30446246,,kidneybeans
135,149,98,35.83669044,68.97238741,5.291034822,173.637128,,grapes
74,120,76,33.74116141,30.30337965,4.621197545,29.0125166,,kidneybeans
66,4,78,38.08571176,77.78050309,5.38698166,189.0913314,,kidneybeans
86,14,64,20.08661507,15.56544467,8.902274887,96.83193975,,grapes
98,50,143,23.62082177,10.50163273,8.105220901,43.81585302,,kidneybeans
36,21,12,35.72853531,38.16678765,4.354100199,131.5990585,,kidneybeans
28,40,88,12.11272384,11.54673278,4.121570204,278.3060253,,kidneybeans
26,3,133,34.16324162,33.91764343,5.742981469,12.63518149,,kidneybeans
23,93,113,35.51038686,89.17619254,6.46978183,195.0036476,,kidneybeans
31,90,131,20.34141533,39.35133406,7.800729691,73.16448828,,grapes
102,123,76,20.73946101,57.52690717,7.404795054,89.0163913,,kidneybeans
70,6,16,13.83048537,56.57825107,4.879989345,208.4310375,,kidneybeans
132,32,77,21.78847518,73.47480121,7.087900581,294.9661457,,kidneybeans
141,18,63,26.83913649,23.06657162,7.607734685,188.453387,,kidneybeans
89,42,142,17.56872587,33.58503375,5.961041173,110.9449658,,kidneybeans
94,9,13,34.09666827,37.14156917,6.253175857,288.2517483,,kidneybeans
41,110,123,18.38229415,19.64896598,7.733584486,167.8094823,,kidneybeans
128,44,3,37.13195342,60.50836215,4.229255566,128.4397979,,kidneybeans
120,63,22,13.28250749,60.81163378,8.051073638,25.65295331,,kidneybeans
142,144,135,15.22438393,91.8571903,5.868647008,211.4202833,,kidneybeans
20,21,136,26.26140765,22.04919097,4.345676676,207.9248392,,kidneybeans
2,81,23,30.86323787,94.48491141,5.312604757,289.6555571,,mango
3,18,100,24.49530234,92.77769845,6.611890163,177.8455218,,kidneybeans
95,15,49,23.87967023,26.35713162,7.863414834,73.15446339,,kidneybeans
20,118,146,17.98285956,79.03639573,8.889080484,24.75315663,,kidneybeans
27,120,118,11.29770113,98.12319192,7.588996782,267.3820519,,kidneybeans
62,45,91,18.57061671,96.05576266,4.12354008,185.502362,,kidneybeans
131,61,67,22.53182831,98.65252856,5.370936003,238.8940126,,kidneybeans
107,138,67,18.27875524,12.37105514,8.607718764,159.9316132,,kidneybeans
1,46,11,11.54791018,19.36379932,5.900287098,34.51809198,,kidneybeans
74,57,102,16.63323794,74.1617343,7.223259126,10.23032025,,kidneybeans
71,30,8,39.46533097,61.96231715,5.112157138,177.3942142,,kidneybeans
59,0,73,22.68867689,77.21612559,5.164737654,177.6367784,,kidneybeans
90,112,1,32.82807264,75.35642963,6.936767973,177.2328586,,kidneybeans
84,9,112,14.20607608,85.99568865,6.092279004,264.5285088,,kidneybeans
109,87,147,27.75476466,31.95514078,8.327738578,272.4393732,,grapes
104,19,78,13.9261735,73.33961871,7.948086109,145.4402987,,kidneybeans
149,147,142,16.73066996,67.27002028,4.674254152,225.5173848,,kidneybeans
49,72,141,35.05472165,74.46995923,6.216593474,222.0291828,,kidneybeans
43,21,119,32.20316513,20.95820629,5.84467788,103.9747473,,kidneybeans
96,5,0,24.66528701,75.62888955,4.160050414,66.49919714,,coffee
146,131,61,35.03026799,18.16909403,7.659266783,51.01399693,,coffee
20,22,58,31.35102844,36.96974364,4.497589988,195.6684927,,kidneybeans
126,112,25,13.05098558,66.06821598,8.506270286,100.5184844,,kidneybeans
46,67,137,27.4104866,45.63147588,8.751781762,63.45724967,,kidneybeans
34,130,24,34.18659407,77.45185504,4.0776553,149.5115595,,grapes
68,61,11,19.37634951,45.56659325,5.260182198,94.97459113,,kidneybeans
31,135,127,23.09707996,13.11903005,4.901604847,255.5541451,,grapes
111,95,73,18.8073485,58.47705322,6.217420178,98.41323206,,kidneybeans
105,129,62,15.17017074,50.58631864,7.150037562,51.89589044,,kidneybeans
138,75,59,27.79058931,15.17927885,6.567856318,178.3385533,,grapes
73,9,36,13.81377604,15.7289177,4.697777039,93.36873974,,mango
137,74,88,26.22480273,69.6794659,7.810667913,36.66788402,,grapes
7,91,59,16.55801776,87.66785094,5.461880803,108.1328284,,grapes
83,69,80,23.55718565,37.58344204,6.503843412,262.5518519,,coffee
130,45,107,28.39466352,80.36673547,5.178328432,64.03203006,,kidneybeans
24,99,106,34.36470119,80.8178204,8.758305786,156.4234935,,kidneybeans
37,51,61,22.19017494,27.37520317,4.010867336,122.6943494,,coffee
56,17,17,28.78491489,25.21328442,7.826812122,270.9087981,,mango
144,50,14,38.09917267,37.68140294,4.395876695,237.6576148,,grapes
52,130,2,34.92998719,20.61726462,7.501899828,78.10724162,,grapes
67,130,75,13.863608,75.58604397,6.272548915,220.730845,,kidneybeans
14,89,53,13.99496598,28.38685117,7.710992208,93.68137914,,grapes
149,40,56,36.8940472,91.69254261,8.533530273,296.621937,,kidneybeans
136,78,0,14.86552157,58.96093877,7.020076357,80.84145024,,kidneybeans
31,120,10,37.78495796,31.38567648,8.765604855,63.68575624,,grapes
149,49,18,23.80979134,69.46132112,4.01730295,64.03675007,,kidneybeans
72,27,57,20.84410759,49.54065421,4.992604726,99.29726216,,kidneybeans
19,140,31,33.11487529,16.38804292,6.942600496,203.3615705,,banana
132,110,132,23.16061088,75.73923238,7.139431158,114.157344,,kidneybeans
76,133,27,29.94407981,90.77107692,5.44139392,279.6281126,,kidneybeans
146,92,5,14.31080553,60.68335563,4.854501014,49.45573855,,coffee
11,141,74,13.25233913,74.14134753,7.86730604,234.7064243,,kidneybeans
104,58,110,35.35689418,44.73036194,4.21329357,179.3367996,,kidneybeans
27,95,59,33.87965724,70.45239842,7.091097707,231.093404,,kidneybeans
15,7,116,31.14652221,48.9619755,8.404182216,206.1864373,,coffee
103,16,108,23.10219336,15.67813132,4.225401673,119.4318023,,kidneybeans
134,10,14,21.71490403,29.69315598,7.897029708,173.4367497,,kidneybeans
75,103,68,17.60532947,40.90453884,7.044081177,43.06066903,,coffee
71,37,98,11.30062974,78.76561827,5.507425773,246.6196959,,kidneybeans
5,77,41,32.07275239,44.80979796,6.518094801,62.71516823,,coffee
107,77,52,30.79368415,52.52129849,5.122975812,25.6330597,,kidneybeans
96,136,61,29.98746258,76.83904938,4.26152284,186.556835,,coffee
46,103,81,26.9713676,12.05299955,6.577503224,38.55353693,,kidneybeans
142,15,141,35.73247899,60.27176155,6.879682262,112.0125662,,kidneybeans
92,84,125,24.04536416,96.69427005,4.714878936,158.1975803,,grapes
138,142,33,39.68109299,23.61203848,8.245253213,250.4103148,,grapes
140,87,63,32.64153672,60.74103518,7.283499692,193.9654617,,kidneybeans
72,44,125,19.80780344,52.359237,7.45874977,242.589045,,kidneybeans
92,89,85,15.70603065,28.02571051,6.813591611,140.2465104,,grapes
111,14,24,25.16173992,49.81041375,8.479781154,90.35291111,,kidneybeans
43,113,31,38.58541506,62.83454505,5.691104498,133.1628036,,kidneybeans
9,145,114,15.10183388,10.92760657,4.101813789,32.16816078,,coffee
141,44,37,14.27064843,15.53880305,7.085811109,156.4722137,,kidneybeans
92,11,46,35.6783532,51.95473018,4.964510605,35.43459144,,grapes
123,144,23,18.00413785,49.23194055,4.251130227,238.6498358,,kidneybeans
146,77,90,27.53886118,20.95082861,5.074718097,292.8714149,,coffee
47,101,36,39.64976052,32.97495043,7.255843975,69.80186903,,kidneybeans
80,141,77,12.5050245,35.13008183,5.847112059,262.9230242,,coffee
30,139,38,25.30990024,57.84980576,4.859057584,89.89557705,,banana
96,69,149,38.44629717,63.50097962,4.869533353,144.2738604,,coffee
39,4,10,14.66809364,90.16887664,5.053658542,71.76549272,,kidneybeans
48,105,41,21.6216138,39.78964899,4.907038762,159.2320443,,grapes
148,32,74,16.72082862,51.3517799,7.093763511,291.9504596,,kidneybeans
96,109,136,37.61909434,29.32352322,7.432343745,22.48885686,,coffee
46,112,32,17.5571611,71.17016746,8.689851806,254.330821,,kidneybeans
79,77,128,21.33567335,92.99045186,5.769990009,19.77001144,,kidneybeans
135,110,39,14.21940408,89.31754457,4.819698499,161.0212566,,grapes
59,79,136,30.49107382,51.07666065,5.868091207,274.1916986,,kidneybeans
58,16,64,23.82892003,22.25711658,4.303338009,213.6409022,,kidneybeans
27,9,124,30.70908448,25.73532884,4.513770526,105.39706,,kidneybeans
135,52,2,29.69016845,15.01166259,8.473464642,176.0759336,,grapes
119,57,22,28.27756235,54.95800648,4.942697748,150.1870156,,grapes
132,90,48,28.27990725,69.23775182,4.034881479,31.12446219,,kidneybeans
83,12,107,23.54532475,49.79866852,6.132935109,99.29114177,,coffee
53,79,1,33.67040441,98.09877073,7.283397425,137.6246631,,kidneybeans
95,103,115,17.97531434,17.40831671,7.736977398,277.5879463,,kidneybeans
22,32,61,15.55367131,88.75232472,8.219584275,94.39668142,,banana
97,121,145,14.72638429,74.16161093,6.688819497,64.51447106,,kidneybeans
64,135,122,35.5596113,15.08454941,4.668056598,162.7653767,,kidneybeans
125,26,102,18.88654286,18.72705469,4.978718388,285.8085239,,grapes
26,23,0,16.08855538,62.9103463,6.626339619,18.77817585,,kidneybeans
103,65,22,28.74944057,98.78445229,5.758197316,48.37512114,,kidneybeans
38,74,0,15.64751347,15.44801396,4.706120545,49.2911708,,kidneybeans
46,74,42,28.95529187,45.7378335,8.970042389,131.1136727,,kidneybeans
34,95,58,11.17012527,48.9691938,5.141597857,10.26754024,,grapes
146,26,138,26.69299766,68.04703905,4.325825544,23.53335277,,coffee
117,8,39,31.60253918,61.5112415,6.919504029,117.5408612,,kidneybeans
34,64,27,14.50357918,36.81513059,5.815806405,97.43543164,,grapes
126,90,111,37.57223569,89.72207058,6.267753217,247.3238349,,kidneybeans
126,52,145,19.53859698,71.67472094,4.867974199,258.7660473,,kidneybeans
61,27,69,21.15380984,23.11438591,8.980396061,116.5021696,,coffee
131,140,114,31.57775947,37.77782829,4.181205379,120.1069607,,kidneybeans
52,105,31,11.22563054,12.54430487,4.414774596,76.30051238,,grapes
29,8,76,31.00967549,38.12693286,4.47258499,271.6863683,,kidneybeans
63,112,7,12.8741073,23.70684918,5.946841509,224.3997595,,kidneybeans
65,56,91,13.12192318,99.44735493,5.649339537,213.1078098,,kidneybeans
22,71,127,21.49462715,45.39462244,7.686235409,74.07768018,,banana
120,122,34,21.3376532,51.63216221,7.979712297,294.5659367,,kidneybeans
130,41,78,25.46087789,73.22602368,4.096536852,14.05206244,,kidneybeans
7,59,62,14.02733839,63.75032096,5.82378511,188.851129,,grapes
91,47,121,10.4582199,42.52841202,8.966012774,108.2882528,,grapes
42,136,104,16.46826721,87.23642007,4.962284144,156.0005971,,banana
3,78,9,26.31273361,93.72876735,8.85865288,75.01118106,,kidneybeans
74,137,31,29.57624278,71.37928525,5.512977981,177.6973297,,kidneybeans
71,131,136,28.53054811,46.21094628,6.844851738,78.91122187,,kidneybeans
25,28,123,39.41305964,37.74673366,4.537324627,179.3760715,,coffee
56,86,2,10.12226639,60.72245319,5.074854097,71.80969517,,mango
112,10,149,17.90816931,38.07343639,4.79444134,238.5691082,,kidneybeans
131,143,128,20.36906463,87.87286463,4.049910094,132.1466256,,kidneybeans
107,88,117,37.90644875,86.43851933,6.924515221,290.7936239,,kidneybeans
115,0,124,29.17332176,65.54770418,5.377399244,275.018001,,kidneybeans
84,98,51,32.42551768,60.73834444,8.984565098,182.7103627,,kidneybeans
138,28,120,13.44564971,48.59049382,7.766795689,79.43776818,,grapes
106,145,39,21.98235975,16.5427873,7.583303203,126.0028452,,kidneybeans
54,21,64,39.45904927,39.64273216,7.235080321,101.9856964,,grapes
59,132,115,19.57098062,45.67266231,4.761926595,125.0429365,,kidneybeans
146,138,108,37.00922078,70.2134177,4.075257744,239.8237283,,coffee
59,131,149,25.93953413,38.52445583,6.10266002,43.76526136,,kidneybeans
60,101,19,12.19322136,24.94574124,5.123827656,268.7149454,,grapes
27,114,147,39.57052536,76.39595891,5.916044197,45.78614797,,kidneybeans
129,76,3,14.7106341,87.93658403,7.156971064,76.03270861,,kidneybeans
30,98,58,30.51759245,30.83997983,8.222843234,64.06605325,,banana
137,6,105,10.73348888,84.75351186,6.873493569,62.65965242,,grapes
141,87,44,14.55207536,72.50186071,4.038658479,227.626218,,kidneybeans
76,123,139,21.18397979,35.23972396,7.59828437,290.9638602,,kidneybeans
33,28,87,30.53085543,11.93913367,7.477317637,204.5386213,,grapes
97,94,142,23.97883998,56.43030475,4.66918668,217.0422372,,kidneybeans
143,147,149,24.21666827,15.7412764,6.241435581,113.7075749,,coffee
5,38,131,38.42773008,57.30211562,6.704214946,57.05118067,,coffee
71,94,94,17.81631203,76.93539521,6.905122394,200.7530177,,kidneybeans
99,13,29,38.60495262,70.00256677,8.909270254,68.57540319,,kidneybeans
79,73,9,33.36117678,65.62770026,4.687376641,265.9993557,,kidneybeans
31,32,72,14.2746953,10.61715185,6.165646968,180.5716175,,grapes
86,147,97,27.97979554,63.88697433,6.562698657,250.3826157,,grapes
54,44,139,31.95635157,81.29806084,6.364202606,223.8104132,,grapes
0,66,96,36.79876679,26.95102285,8.627509187,59.22630603,,mango
36,69,93,36.39279407,92.97118131,4.280931733,67.68845354,,kidneybeans
87,86,66,37.07672913,28.07174817,8.762816805,285.5048455,,kidneybeans
11,50,36,15.00413255,43.5226964,7.881564819,79.93253941,,kidneybeans
33,19,77,30.52246828,83.35161699,4.69288047,272.2290765,,grapes
141,124,95,22.42440803,33.70942644,7.403772371,241.1121105,,kidneybeans
71,0,144,21.03218971,65.05350664,5.671640385,104.4177467,,kidneybeans
143,22,84,24.36208278,52.34429105,4.4154228,96.57093063,,coffee
61,46,40,10.00969794,42.38392838,5.783235426,114.2595499,,coffee
35,59,22,27.01885102,53.46765397,7.502476785,211.5733624,,kidneybeans
127,131,108,26.80252584,92.33293009,7.964921185,103.0926996,,kidneybeans
15,148,21,37.90265806,14.72729624,8.72593909,289.4085973,,coffee
139,79,46,26.64291127,54.74329275,6.23238895,171.7156966,,kidneybeans
71,143,99,37.40862339,78.81974258,4.705503023,124.4867205,,kidneybeans
4,5,143,15.31210392,18.69727417,5.367549525,43.20867085,,grapes
43,28,34,22.69032854,98.58512872,5.409143072,173.562824,,kidneybeans
61,65,17,27.88505916,98.95818029,6.680154089,284.0718068,,coffee
12,35,146,38.27628942,83.09820848,5.361379741,94.82982371,,kidneybeans
49,18,103,32.52261569,21.52134191,5.654334333,278.3557406,,kidneybeans
114,48,55,31.01905616,10.25962927,6.485003142,134.6701099,,kidneybeans
130,52,112,25.74359642,60.46332232,5.441641156,199.5648938,,kidneybeans
66,69,83,36.90966945,55.42259982,6.92309565,74.23065727,,kidneybeans
11,91,127,10.26318586,75.81271476,8.911217468,205.724434,,kidneybeans
13,51,88,19.18443851,26.75888822,8.434603366,124.0963177,,kidneybeans
136,123,80,16.40437892,70.33942324,7.068304281,267.6235047,,kidneybeans
112,3,50,14.84452229,28.64637468,7.661329318,130.334183,,kidneybeans
90,131,138,18.20906674,59.1317933,5.68684319,91.92743735,,kidneybeans
30,105,146,31.20943149,15.29021937,6.152869977,176.3538681,,banana
17,13,127,29.23945112,74.3771555,7.957227483,182.4491261,,kidneybeans
134,133,123,38.45472646,59.33776235,7.543254503,77.3079886,,kidneybeans
75,120,27,31.29603536,46.77538623,5.434125861,170.8113037,,coffee
131,41,77,15.94631255,16.59997294,5.913542046,278.8021079,,kidneybeans
128,70,122,24.49269664,38.4355585,8.827419066,134.3592865,,kidneybeans
131,97,109,32.19165962,29.97442061,6.964768018,81.42643898,,kidneybeans
141,112,22,12.89079927,80.92768322,4.145924695,99.77901413,,kidneybeans
123,34,109,25.52360144,36.95502949,5.121955914,140.2594218,,kidneybeans
101,6,17,22.25514427,89.51109544,8.49888811,28.03360815,,kidneybeans
54,35,37,32.13964287,72.96248008,5.527559439,125.5939613,,grapes
78,81,119,17.27775973,53.22494484,7.381042184,202.28993,,coffee
46,89,33,25.68774367,13.92412869,8.96935508,26.70838061,,kidneybeans
60,20,42,20.36266614,92.22559201,6.402287557,110.4873398,,grapes
59,129,57,23.01614108,90.50329126,6.029837383,247.1973992,,kidneybeans
65,13,61,33.43940809,85.77729712,6.355781583,156.9237026,,kidneybeans
63,74,36,21.32294979,30.62549717,6.283770631,274.7555509,,kidneybeans
50,41,83,29.69948344,27.66268688,6.021838984,242.5954498,,grapes
128,146,44,29.80857127,90.68536651,7.206616149,160.683489,,kidneybeans
69,137,2,39.87151676,38.20220224,8.402224672,214.2889779,,kidneybeans
31,123,64,11.08652028,38.3081734,7.219693096,290.6468052,,grapes
62,103,76,21.73285199,20.69709035,8.691715873,82.93749676,,kidneybeans
135,142,88,31.75123644,86.7181557,8.248233672,172.2736518,,grapes
44,21,102,16.82812318,34.54335712,8.17466685,188.4344191,,grapes
90,64,93,10.87985546,82.12234819,8.553321743,144.2461939,,kidneybeans
90,34,23,29.27432145,16.53723955,4.496653454,29.95085615,,kidneybeans
12,72,130,18.3654752,76.70591734,6.205160196,74.38970104,,kidneybeans
136,74,86,26.26495325,70.01836878,6.666055098,206.4085651,,kidneybeans
134,123,50,28.16155645,40.09821024,6.76937201,63.80758937,,kidneybeans
93,9,48,35.64012795,85.26383965,4.99353671,68.21613157,,grapes
21,12,93,39.66233431,48.43849103,4.427128171,158.2484542,,grapes
16,39,41,27.52481516,98.06664669,5.746490886,162.6718223,,kidneybeans
57,26,6,21.36283823,63.16696885,6.447704458,248.0905796,,coffee
48,45,136,38.52569306,69.69386204,6.115350701,284.8717167,,grapes
120,69,131,14.5236449,43.9966143,4.977029876,259.3384894,,kidneybeans
34,96,56,32.58829807,82.41295045,5.119893476,67.02787313,,grapes
46,90,95,30.23712704,48.36263531,8.847530298,236.1223258,,kidneybeans
51,4,77,33.08427948,86.89969059,4.7822411,156.2518474,,mango
127,55,24,19.28526386,69.09574696,7.607605057,295.1886855,,kidneybeans
9,145,138,10.7068208,24.2082721,7.163832185,153.6853871,,coffee
91,133,129,20.41543761,72.28750689,6.21390327,114.7231629,,grapes
34,17,111,13.73397684,25.95137012,4.408130254,231.1894929,,grapes
90,68,109,25.40644035,48.6793566,8.955116457,88.84526898,,kidneybeans
97,12,6,10.19969252,84.78818043,7.960081183,231.77304,,kidneybeans
17,61,96,20.95953739,63.84351562,4.781306656,139.9477722,,kidneybeans
8,98,135,34.09817607,84.7740987,8.708309315,27.89402308,,kidneybeans
60,149,27,31.61822956,50.23410908,6.167294948,268.0890991,,grapes
65,53,5,16.83847677,52.65480802,4.78346703,283.5004856,,kidneybeans
146,63,41,34.05304885,23.08557163,4.58438746,108.348648,,coffee
20,19,33,33.05434632,30.14866059,8.843440667,233.7611628,,kidneybeans
126,44,128,34.875838,24.84494392,7.236491548,298.6424829,,kidneybeans
124,69,140,31.09395588,10.88263514,7.662240939,84.37447056,,grapes
114,88,22,28.30488121,47.9925166,8.171920732,239.197724,,kidneybeans
18,26,10,23.70948025,15.4955998,7.872727055,25.54785969,,coffee
6,20,72,37.21914242,95.37481975,8.589440977,217.635779,,grapes
118,22,76,35.90545464,68.07543865,4.637212602,86.60802868,,coffee
9,115,7,23.78635336,84.43853742,8.243993501,39.9239896,,coffee
142,149,125,33.36093268,32.01658049,8.379677669,226.4938868,,kidneybeans
142,95,104,33.75806583,91.43262507,5.017905181,19.41559446,,kidneybeans
130,38,107,14.56981644,71.91648636,8.410547084,246.277016,,kidneybeans
36,124,37,15.50563084,69.24225489,4.344447841,63.88647572,,kidneybeans
79,40,66,16.69932156,30.78247567,8.00722321,73.04901197,,kidneybeans
27,74,107,16.44824089,72.90949171,6.583269923,211.6590046,,kidneybeans
80,124,48,31.29455336,62.014786,8.34160485,206.9127422,,coffee
25,14,130,39.42850917,99.86975639,5.234393784,93.37144472,,coffee
119,135,113,28.80575317,99.30459711,7.584242702,287.4532126,,grapes
125,43,102,36.63493086,35.26089443,4.643872239,145.0946473,,grapes
77,2,18,26.67831332,94.94266516,8.049607799,296.7897159,,kidneybeans
108,22,36,32.89950231,48.76139117,4.974431503,28.4253898,,grapes
118,33,56,24.98602694,45.37339996,7.684111904,148.1845427,,coffee
81,103,57,17.10095635,56.5604432,6.160860951,257.8615979,,grapes
40,124,136,23.39888731,71.94644978,5.90342233,253.0940467,,kidneybeans
101,59,39,22.31815677,12.18714115,6.642246408,120.6454878,,kidneybeans
70,110,121,32.53095486,68.2108661,7.248639652,105.5417871,,kidneybeans
118,52,53,35.06155278,83.81248892,8.00941455,31.58942097,,coffee
112,14,73,32.64703433,46.70844287,5.255756691,199.6252073,,kidneybeans
116,69,1,18.71686974,31.12311734,6.58404686,42.82806839,,grapes
